txn_amount,merchant_risk_score,is_international,gateway_load,processing_seconds
183001.1,0.8,1,0.8,7.01
62146.9,0.6,1,0.3,3.96
125950.1,0.3,1,0.1,4.89
100577.6,0.5,1,0.8,4.15
166525.8,0.4,1,0.6,5.53
188862.7,0.7,1,1.0,5.7
137348.8,0.3,1,0.4,4.68
177949.0,0.1,0,0.6,3.64
143311.2,0.7,0,0.1,5.3
91060.9,0.6,0,0.3,3.23
157698.5,0.7,0,0.3,4.91
63762.9,0.7,0,0.4,3.04
90963.7,0.4,0,0.9,1.84
176577.2,0.7,0,0.9,5.31
98841.1,0.6,0,0.7,3.03
150697.4,0.3,0,0.9,3.75
136563.3,0.3,1,0.4,4.63
189790.6,0.9,0,0.3,6.29
99233.6,0.6,0,0.3,3.3
137987.3,0.6,1,0.9,5.38
